Biosample ID	Sample name	Sex	Population name	Superpopulation code	Superpopulation name
SAME123893	HG00689	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123239	HG01919	female	Peruvian	AMR	American Ancestry
SAME1839043	HG02425	female	Peruvian	AMR	American Ancestry
SAME123161	HG00691	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123790	HG01921	female	Peruvian	AMR	American Ancestry
SAME1839656	HG02317	male	African Caribbean	AFR	African Ancestry
SAME122928	HG00704	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123783	HG01926	male	Peruvian	AMR	American Ancestry
SAME1839091	HG02343	male	African Caribbean	AFR	African Ancestry
SAME125334	HG00709	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123451	HG02018	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839845	HG02398	male	Dai Chinese	EAS	East Asian Ancestry
SAME123112	HG00716	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME125168	HG02020	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839415	HG02401	male	Dai Chinese	EAS	East Asian Ancestry
SAME123169	HG01048	male	Puerto Rican	AMR	American Ancestry
SAME125335	HG02025	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839394	HG02406	male	Dai Chinese	EAS	East Asian Ancestry
SAME123180	HG01050	female	Puerto Rican	AMR	American Ancestry
SAME1839959	HG02032	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839404	HG02588	male	Gambian Mandinka	AFR	African Ancestry
SAME123638	HG01055	female	Puerto Rican	AMR	American Ancestry
SAME1840106	HG01983	female	Peruvian	AMR	American Ancestry
SAME123014	HG01062	female	Puerto Rican	AMR	American Ancestry
SAME1840175	HG01988	male	African Caribbean	AFR	African Ancestry
SAME1839204	HG02595	female	Gambian Mandinka	AFR	African Ancestry
SAME122997	HG01067	female	Puerto Rican	AMR	American Ancestry
SAME1840235	HG01990	male	African Caribbean	AFR	African Ancestry
SAME1840287	HG02603	male	Punjabi	SAS	South Asian Ancestry
SAME124258	HG00557	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME124829	HG00583	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123193	HG01868	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839981	HG02716	female	Gambian Mandinka	AFR	African Ancestry
SAME125009	HG00590	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123397	HG01870	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME125006	HG00595	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME122849	HG01882	male	African Caribbean	AFR	African Ancestry
SAME1839722	HG02728	female	Punjabi	SAS	South Asian Ancestry
SAME125369	HG00608	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME123586	HG01933	female	Peruvian	AMR	American Ancestry
SAME125199	HG00610	male	Southern Han Chinese	EAS	East Asian Ancestry
SAME123593	HG01938	male	Peruvian	AMR	American Ancestry
SAME1839939	HG02545	male	African Caribbean	AFR	African Ancestry
SAME125194	HG00615	female	Southern Han Chinese	EAS	East Asian Ancestry
SAME124148	HG01940	female	Peruvian	AMR	American Ancestry
SAME1840061	HG02557	male	African Caribbean	AFR	African Ancestry
SAME124070	HG01074	male	Puerto Rican	AMR	American Ancestry
SAME124533	HG01969	female	Peruvian	AMR	American Ancestry
SAME1839355	HG02689	male	Punjabi	SAS	South Asian Ancestry
SAME123013	HG01079	male	Puerto Rican	AMR	American Ancestry
SAME124326	HG01971	female	Peruvian	AMR	American Ancestry
SAME1839084	HG02691	female	Punjabi	SAS	South Asian Ancestry
SAME125395	HG01081	female	Puerto Rican	AMR	American Ancestry
SAME124325	HG01976	female	Peruvian	AMR	American Ancestry
SAME1839149	HG02696	male	Punjabi	SAS	South Asian Ancestry
SAME125394	HG01086	female	Puerto Rican	AMR	American Ancestry
SAME1840279	HG02006	female	Peruvian	AMR	American Ancestry
SAME1840339	HG01372	female	Colombian	AMR	American Ancestry
SAME1840396	HG02013	male	African Caribbean	AFR	African Ancestry
SAME1839292	HG02684	male	Punjabi	SAS	South Asian Ancestry
SAME124288	HG01377	male	Colombian	AMR	American Ancestry
SAME124153	HG01945	female	Peruvian	AMR	American Ancestry
SAME122969	HG01384	female	Colombian	AMR	American Ancestry
SAME123975	HG01952	male	Peruvian	AMR	American Ancestry
SAME1839597	HG02658	female	Punjabi	SAS	South Asian Ancestry
SAME122972	HG01389	male	Colombian	AMR	American Ancestry
SAME122846	HG01887	male	African Caribbean	AFR	African Ancestry
SAME1839672	HG02660	male	Punjabi	SAS	South Asian Ancestry
SAME122804	HG01391	female	Colombian	AMR	American Ancestry
SAME1840357	HG01894	female	African Caribbean	AFR	African Ancestry
SAME1839954	HG01396	female	Puerto Rican	AMR	American Ancestry
SAME122829	HG02188	female	Dai Chinese	EAS	East Asian Ancestry
SAME1839577	HG02571	female	Gambian Mandinka	AFR	African Ancestry
SAME125259	HG02190	female	Dai Chinese	EAS	East Asian Ancestry
SAME1839429	HG02583	female	Gambian Mandinka	AFR	African Ancestry
SAME123904	HG02215	female	British	EUR	European Ancestry
SAME1840405	HG02610	male	Gambian Mandinka	AFR	African Ancestry
SAME123533	HG01334	male	British	EUR	European Ancestry
SAME123717	HG02222	female	Iberian	EUR	European Ancestry
SAME124859	HG01341	male	Colombian	AMR	American Ancestry
SAME1840155	HG02102	female	Peruvian	AMR	American Ancestry
SAME124860	HG01346	female	Colombian	AMR	American Ancestry
SAME1840206	HG02107	male	African Caribbean	AFR	African Ancestry
SAME1840031	HG02634	male	Gambian Mandinka	AFR	African Ancestry
SAME124425	HG01149	female	Colombian	AMR	American Ancestry
SAME123479	HG02121	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839770	HG02646	female	Gambian Mandinka	AFR	African Ancestry
SAME124796	HG01168	female	Puerto Rican	AMR	American Ancestry
SAME123477	HG02126	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1840298	HG02785	female	Punjabi	SAS	South Asian Ancestry
SAME124623	HG01170	male	Puerto Rican	AMR	American Ancestry
SAME123773	HG02049	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1840416	HG02792	male	Punjabi	SAS	South Asian Ancestry
SAME124618	HG01175	female	Puerto Rican	AMR	American Ancestry
SAME1839549	HG02051	male	African Caribbean	AFR	African Ancestry
SAME123490	HG01098	female	Puerto Rican	AMR	American Ancestry
SAME124162	HG02056	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1840081	HG02805	female	Gambian Mandinka	AFR	African Ancestry
SAME123677	HG01101	male	Puerto Rican	AMR	American Ancestry
SAME1839616	HG02145	male	African Caribbean	AFR	African Ancestry
SAME1839866	HG02735	male	Punjabi	SAS	South Asian Ancestry
