Biosample ID	Sample name	Sex	Population name	Superpopulation code	Superpopulation name
SAME124328	HG01973	female	Peruvian	AMR	American Ancestry
SAME1840375	HG03694	male	Tamil	SAS	South Asian Ancestry
SAME124332	HG01978	female	Peruvian	AMR	American Ancestry
SAME1839669	HG03124	male	Esan	AFR	African Ancestry
SAME1839853	HG01916	female	African Caribbean	AFR	African Ancestry
SAME1839699	HG03129	female	Esan	AFR	African Ancestry
SAME1840029	HG03702	male	Punjabi	SAS	South Asian Ancestry
SAME123788	HG01923	male	Peruvian	AMR	American Ancestry
SAME125318	HG02027	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839387	HG03136	male	Esan	AFR	African Ancestry
SAME1839172	HG03846	male	Tamil	SAS	South Asian Ancestry
SAME123995	HG01872	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839729	HG03028	female	Gambian Mandinka	AFR	African Ancestry
SAME123108	HG02077	male	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1840393	HG03771	male	Telugu	SAS	South Asian Ancestry
SAME124973	HG02084	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839527	HG03803	male	Bengali	SAS	South Asian Ancestry
SAME124821	HG02089	female	Peruvian	AMR	American Ancestry
SAME1840256	HG03009	male	Bengali	SAS	South Asian Ancestry
SAME1839552	HG03808	female	Bengali	SAS	South Asian Ancestry
SAME124650	HG02091	female	Peruvian	AMR	American Ancestry
SAME1839952	HG03016	female	Punjabi	SAS	South Asian Ancestry
SAME1839419	HG03815	male	Bengali	SAS	South Asian Ancestry
SAME124614	HG02142	female	Kinh Vietnamese	EAS	East Asian Ancestry
SAME1839450	HG03822	male	Bengali	SAS	South Asian Ancestry
SAME1839700	HG02147	female	Peruvian	AMR	American Ancestry
SAME1840241	HG02974	female	Esan	AFR	African Ancestry
SAME1839382	HG03733	female	Tamil	SAS	South Asian Ancestry
